DATE,SMA,EMA,MACD,RSI,ADX
2019-02-15,30.2580,30.3182,1.1720,83.0432,57.7033
2019-02-14,30.1310,30.1423,1.1682,82.0259,56.0934
2019-02-13,30.0270,29.9606,1.1617,78.8241,55.2106
2019-02-12,29.9710,29.8318,1.1793,78.8241,54.5961
2019-02-11,29.9180,29.6744,1.1846,74.0011,53.9133
2019-02-08,29.8790,29.6021,1.2291,73.1869,54.3294
2019-02-07,29.8850,29.5314,1.2761,77.5592,55.1743
2019-02-06,29.8500,29.4095,1.3013,76.7789,55.8883
2019-02-05,29.8480,29.2827,1.3247,74.9777,56.6816
2019-02-04,29.5230,29.1789,1.3588,74.5922,57.8999
2019-02-01,29.1940,29.0631,1.3875,77.6057,59.8153
2019-01-31,28.8320,28.8905,1.3898,79.2524,59.6961
2019-01-30,28.4160,28.6617,1.3644,80.4040,58.0716
2019-01-29,27.9990,28.3687,1.3059,80.9332,56.2666
2019-01-28,27.5770,28.0040,1.2093,79.2981,54.2610
2019-01-25,27.1730,27.6471,1.1091,85.3945,52.0327
2019-01-24,26.7640,27.1286,0.9274,84.6782,48.5291
2019-01-23,26.3440,26.5506,0.7074,88.2624,44.6363
2019-01-22,25.8990,25.7929,0.3930,72.5069,40.4705
2019-01-18,25.7650,25.6358,0.3382,71.6149,38.7720
2019-01-17,25.5790,25.4637,0.2725,69.7503,37.2276
2019-01-16,25.4020,25.2957,0.2041,64.6970,35.6820
2019-01-15,25.1410,25.1925,0.1606,65.7719,33.9646
2019-01-14,24.9120,25.0553,0.0977,65.5659,33.8590
2019-01-11,24.6870,24.8920,0.0180,63.3849,33.1282
2019-01-10,24.4100,24.7413,-0.0616,69.1157,32.3162
2019-01-09,24.0370,24.4861,-0.1949,66.0036,31.9990
2019-01-08,23.7170,24.2541,-0.3255,65.8314,31.5242
2019-01-07,23.4660,23.9750,-0.4854,62.8700,31.9695
2019-01-04,23.2470,23.7117,-0.6469,57.0281,32.4888
2019-01-03,23.1420,23.5254,-0.7814,56.0069,33.6432
2019-01-02,23.0610,23.3199,-0.9316,39.0631,37.2825
2018-12-31,23.1460,23.3577,-0.9774,43.3388,40.5899
2018-12-28,23.1870,23.3216,-1.0592,43.5708,41.7108
2018-12-27,23.2950,23.2730,-1.1504,31.3290,43.4855
2018-12-26,23.4830,23.3782,-1.1746,17.3772,43.6578
2018-12-24,23.7980,23.6489,-1.1233,18.2643,42.3329
2018-12-21,24.0950,23.9420,-1.0587,22.3028,39.5994
2018-12-20,24.3270,24.1513,-1.0292,21.6043,36.9704
2018-12-19,24.4830,24.4138,-0.9734,25.2078,34.5638
2018-12-18,24.6990,24.6169,-0.9421,26.2486,32.4428
2018-12-17,24.9580,24.8339,-0.9026,29.0219,30.5481
2018-12-14,25.1580,25.0193,-0.8758,27.6848,28.5110
2018-12-13,25.3880,25.2613,-0.8217,33.2398,27.0411
2018-12-12,25.5320,25.4038,-0.8109,33.7701,25.9152
2018-12-11,25.6400,25.5647,-0.7915,39.7651,25.5137
2018-12-10,25.7010,25.6213,-0.8193,39.6120,25.0675
2018-12-07,25.7240,25.6927,-0.8419,39.7941,24.8105
2018-12-06,25.7320,25.7755,-0.8605,28.0312,26.6438
2018-12-04,25.8080,26.0522,-0.7913,37.4507,25.6724
2018-12-03,25.8360,26.1394,-0.8065,44.1925,24.9917
2018-11-30,25.8480,26.1193,-0.8723,40.2889,27.1467
2018-11-29,25.9125,26.1458,-0.9201,42.9956,27.7931
2018-11-28,26.0745,26.1271,-0.9911,40.3289,29.2761
2018-11-27,26.1895,26.1420,-1.0500,35.5395,30.9239
2018-11-26,26.3725,26.2269,-1.0795,36.9636,31.2798
2018-11-23,26.5125,26.2951,-1.1176,30.8884,31.9106
2018-11-21,26.6865,26.4651,-1.1103,28.8307,31.1672
2018-11-20,26.8445,26.7018,-1.0717,27.1796,30.3412
2018-11-19,26.9825,27.0155,-0.9955,31.0050,28.3903
2018-11-16,27.0385,27.2545,-0.9500,33.6974,26.4340
2018-11-15,27.1325,27.4555,-0.9199,35.7052,24.6185
2018-11-14,27.3760,27.6356,-0.8981,45.7200,23.3845
2018-11-13,27.4940,27.5880,-0.9799,37.3157,23.4611
2018-11-12,27.5960,27.6719,-1.0049,40.6816,24.8412
2018-11-09,27.6690,27.6902,-1.0608,37.0506,25.6806
2018-11-08,27.7870,27.7724,-1.0893,36.4017,26.8637
2018-11-07,27.9350,27.8841,-1.1048,32.7853,26.9098
2018-11-06,28.2020,28.0850,-1.0789,28.8955,26.3296
2018-11-05,28.4170,28.3994,-0.9986,26.8048,24.5003
2018-11-02,28.9180,28.8215,-0.8643,30.5632,22.5720
2018-11-01,29.2340,29.1618,-0.7607,42.8015,20.4295
2018-10-31,29.3300,29.1800,-0.7997,42.2199,21.7899
2018-10-30,29.4410,29.2134,-0.8327,32.3075,23.7147
2018-10-29,29.6090,29.4319,-0.7814,32.8786,24.9955
2018-10-26,29.7530,29.6790,-0.7136,33.9591,26.4185
2018-10-25,29.8990,29.9410,-0.6350,35.4139,26.9265
2018-10-24,30.0540,30.2056,-0.5509,41.1217,29.0982
2018-10-23,30.2170,30.3291,-0.5272,32.0290,31.9115
2018-10-22,30.4500,30.6644,-0.4048,58.2828,34.1369
2018-10-19,30.4100,30.4765,-0.5166,41.1854,36.5596
2018-10-18,30.5240,30.4824,-0.5438,31.3979,39.2179
2018-10-17,30.7010,30.5808,-0.5288,32.5883,38.7891
2018-10-16,30.8450,30.6787,-0.5123,26.8470,38.9472
2018-10-15,30.9920,30.8495,-0.4603,22.9977,37.8333
2018-10-12,31.1410,31.0916,-0.3719,24.5478,35.4323
2018-10-11,31.2880,31.3431,-0.2741,27.3702,32.7645
2018-10-10,31.4460,31.5749,-0.1798,39.0039,30.1396
2018-10-09,31.5750,31.6404,-0.1567,35.7432,29.2021
2018-10-08,31.7770,31.7494,-0.1117,34.7776,29.5857
2018-10-05,32.0080,31.8915,-0.0486,41.5148,30.0119
2018-10-04,32.2100,31.9585,-0.0162,45.1204,31.3918
2018-10-03,32.3840,31.9916,0.0031,40.2366,33.1441
2018-10-02,32.5310,32.0830,0.0510,35.7628,35.7209
2018-10-01,32.6530,32.2392,0.1318,32.8209,36.6994
2018-09-28,32.7960,32.4591,0.2462,34.8074,38.0944
2018-09-27,32.8830,32.6877,0.3703,40.2948,38.2104
2018-09-26,32.9300,32.8672,0.4776,51.4988,39.9822
2018-09-25,32.9130,32.9333,0.5372,65.8220,42.8445
2018-09-24,32.7990,32.8807,0.5445,73.4864,45.4279
2018-09-21,32.6300,32.7608,0.5204,79.8458,47.0304
2018-09-20,32.4470,32.5721,0.4627,79.3376,44.8069
2018-09-19,32.2800,32.3548,0.3884,74.5187,41.9725
2018-09-18,32.1650,32.2004,0.3389,68.5839,39.1162
2018-09-17,32.0640,32.1116,0.3166,71.2387,37.1031
2018-09-14,31.9420,31.9852,0.2754,65.5357,35.1954
2018-09-13,31.8730,31.9153,0.2575,67.1115,33.6166
2018-09-12,31.8310,31.8187,0.2258,68.5960,32.6353
2018-09-11,31.7710,31.6895,0.1769,63.1703,31.5449
2018-09-10,31.7240,31.6138,0.1496,57.8570,30.3334
2018-09-07,31.6810,31.5880,0.1432,59.1367,28.9873
2018-09-06,31.6740,31.5453,0.1278,61.5888,29.8200
2018-09-05,31.5970,31.4710,0.0962,62.0519,30.7452
2018-09-04,31.5130,31.3756,0.0523,57.6047,30.0380
2018-08-31,31.3930,31.3280,0.0271,55.6427,30.3553
2018-08-30,31.2900,31.2987,0.0078,58.4518,31.3268
2018-08-29,31.1130,31.2295,-0.0322,64.7256,31.7562
2018-08-28,30.8870,31.0738,-0.1154,63.2847,32.2334
2018-08-27,30.6940,30.9124,-0.2067,60.6115,31.2355
2018-08-24,30.4760,30.7685,-0.2957,57.6017,30.1267
2018-08-23,30.3110,30.6504,-0.3786,64.6084,30.6451
2018-08-22,30.1400,30.4150,-0.5206,57.8566,31.0159
2018-08-21,30.0370,30.2605,-0.6332,57.2449,31.5639
2018-08-20,29.9140,30.0829,-0.7626,48.1719,33.1476
2018-08-17,29.8610,30.0146,-0.8485,48.7275,35.6497
2018-08-16,29.7840,29.9223,-0.9499,39.4579,38.2103
2018-08-15,29.7060,29.9406,-1.0054,36.4799,41.0553
2018-08-14,29.6420,30.0007,-1.0442,38.4842,42.6847
2018-08-13,29.6230,30.0298,-1.0990,30.0041,43.8665
2018-08-10,29.6490,30.1741,-1.1031,32.2058,42.8273
2018-08-09,29.7410,30.2906,-1.1197,35.2211,42.0587
2018-08-08,30.0950,30.3552,-1.1603,35.9128,41.8534
2018-08-07,30.4750,30.4164,-1.2034,32.1661,42.0671
2018-08-06,30.8710,30.5467,-1.2154,32.3705,41.7143
2018-08-03,31.1820,30.6993,-1.2161,29.6900,41.3224
2018-08-02,31.5290,30.9302,-1.1789,21.2640,39.8099
2018-08-01,31.9420,31.3458,-1.0532,20.8371,37.3724
2018-07-31,32.3380,31.8604,-0.8744,23.3006,34.5870
2018-07-30,32.6380,32.3450,-0.6997,22.7951,31.4921
2018-07-27,32.9160,32.9461,-0.4624,26.4421,28.2585
2018-07-26,33.1390,33.4741,-0.2475,48.9524,24.9892
2018-07-25,33.2770,33.4594,-0.2721,53.6589,21.4401
2018-07-24,33.3560,33.3660,-0.3340,52.5725,22.8522
2018-07-23,33.4690,33.2718,-0.3991,41.2866,25.1348
2018-07-20,33.5620,33.3388,-0.3929,43.0871,26.5046
2018-07-19,33.6090,33.3852,-0.3955,43.7308,27.5549
2018-07-18,33.6670,33.4286,-0.3992,41.0907,29.1669
2018-07-17,33.7520,33.5261,-0.3778,36.9650,30.2635
2018-07-16,33.7950,33.7141,-0.3133,33.4466,29.5667
2018-07-13,33.8920,34.0016,-0.2000,36.0968,27.6722
2018-07-12,33.9090,34.2687,-0.0913,59.9470,25.5672
2018-07-11,33.7600,34.1239,-0.1669,56.9265,23.9521
2018-07-10,33.6760,34.0026,-0.2356,61.0715,25.7139
2018-07-09,33.5890,33.7987,-0.3453,46.8647,27.1576
2018-07-06,33.6530,33.7762,-0.3765,41.1827,29.0976
2018-07-05,33.7330,33.8153,-0.3802,43.5582,29.2485
2018-07-03,33.8590,33.8254,-0.3967,44.5097,29.7135
2018-07-02,33.9380,33.8222,-0.4192,30.1997,30.2303
2018-06-29,34.1270,33.9804,-0.3675,33.1509,30.3745
2018-06-28,34.2950,34.1117,-0.3246,22.9916,31.0835
2018-06-27,34.5040,34.3654,-0.2224,27.0426,27.2755
2018-06-26,34.7040,34.5732,-0.1355,31.3681,23.7822
2018-06-25,34.8660,34.7384,-0.0634,34.0652,20.6589
2018-06-22,35.0120,34.8914,0.0072,41.1592,17.4832
2018-06-21,35.1120,34.9694,0.0473,37.8300,15.5232
2018-06-20,35.2370,35.0960,0.1120,49.0756,13.3454
2018-06-19,35.2440,35.1106,0.1288,38.6552,13.3153
2018-06-18,35.3180,35.2174,0.1891,46.5922,12.3166
2018-06-15,35.3370,35.2658,0.2257,48.2801,12.9434
2018-06-14,35.3460,35.3093,0.2620,48.0381,13.6398
2018-06-13,35.3250,35.3646,0.3055,56.9058,14.8525
2018-06-12,35.2670,35.3501,0.3189,57.4215,16.1238
2018-06-11,35.2390,35.3279,0.3293,58.8617,16.6964
2018-06-08,35.2700,35.2875,0.3317,59.5336,17.0397
2018-06-07,35.3150,35.2314,0.3269,61.8640,17.9634
2018-06-06,35.3270,35.1383,0.3049,53.7100,18.6096
2018-06-05,35.3870,35.1468,0.3283,59.3131,20.2258
2018-06-04,35.4100,35.0972,0.3259,56.5964,21.4942
2018-06-01,35.3840,35.0766,0.3364,56.1572,23.6970
2018-05-31,35.3260,35.0581,0.3480,51.6036,25.4071
2018-05-30,35.2710,35.1044,0.3894,51.6036,26.1442
2018-05-29,35.1510,35.1609,0.4364,56.5112,27.6836
2018-05-25,35.0630,35.1588,0.4576,68.4037,29.3942
2018-05-24,34.8710,35.0119,0.4117,71.9686,29.5811
2018-05-23,34.6450,34.7946,0.3299,70.1572,29.7889
2018-05-22,34.3940,34.5778,0.2431,69.5945,28.3927
2018-05-21,34.1070,34.3284,0.1359,68.8391,25.4127
2018-05-18,33.8170,34.0459,0.0073,63.3483,22.7007
2018-05-17,33.5110,33.8494,-0.0888,60.0376,20.2833
2018-05-16,33.3330,33.6870,-0.1745,57.2579,19.0102
2018-05-15,33.2020,33.5508,-0.2529,49.9899,18.2418
2018-05-14,33.1450,33.5288,-0.2830,58.8590,18.0562
2018-05-11,33.0430,33.3596,-0.3825,54.4244,18.5513
2018-05-10,32.9830,33.2395,-0.4642,52.4120,19.0249
2018-05-09,32.9410,33.1306,-0.5445,46.5384,20.4464
2018-05-08,33.0310,33.1018,-0.5912,40.4905,22.5759
2018-05-07,33.2570,33.1622,-0.5984,38.6006,23.2871
2018-05-04,33.5180,33.2649,-0.5856,24.8947,22.0625
2018-05-03,33.9020,33.5749,-0.4763,32.1267,20.2698
2018-05-02,34.1160,33.7471,-0.4245,33.9396,18.4615
2018-05-01,34.2930,33.9153,-0.3716,34.7762,18.6552
2018-04-30,34.4680,34.1009,-0.3079,36.4849,17.8364
2018-04-27,34.5860,34.2856,-0.2413,36.7414,18.0628
2018-04-26,34.7720,34.5046,-0.1560,36.8191,17.7643
2018-04-25,34.9000,34.7701,-0.0458,43.9219,17.7098
2018-04-24,34.8910,34.9056,0.0090,54.2218,17.7510
2018-04-23,34.8230,34.8647,-0.0159,57.0712,19.1972
2018-04-20,34.7080,34.7657,-0.0699,62.4407,19.3100
2018-04-19,34.5670,34.5559,-0.1785,55.1263,18.2859
2018-04-18,34.4940,34.4705,-0.2361,53.2092,18.6333
2018-04-17,34.2810,34.4062,-0.2879,54.0169,20.0092
2018-04-16,34.0890,34.3120,-0.3569,50.3335,22.0701
2018-04-13,33.9870,34.2813,-0.4011,58.1689,23.4039
2018-04-12,33.7930,34.0860,-0.5240,52.8676,24.8859
2018-04-11,33.5700,33.9740,-0.6152,47.3938,27.0982
2018-04-10,33.5090,33.9527,-0.6697,50.8704,29.4312
2018-04-09,33.3730,33.8511,-0.7641,48.3637,31.7438
2018-04-06,33.3440,33.7825,-0.8481,49.6402,34.3132
2018-04-05,33.3910,33.6675,-0.9572,48.8593,36.4845
2018-04-04,33.5050,33.5469,-1.0734,32.2627,40.4938
2018-04-03,33.7830,33.7506,-1.0451,34.0238,40.7987
2018-04-02,33.9940,33.9374,-1.0224,37.4396,39.0270
2018-03-29,34.1340,34.0502,-1.0315,35.0703,37.0585
2018-03-28,34.4120,34.2347,-1.0067,24.5368,35.7020
2018-03-27,34.8740,34.6513,-0.8728,30.1714,34.1948
2018-03-26,35.2600,34.9160,-0.8013,24.3433,32.5699
2018-03-23,35.6750,35.3307,-0.6566,28.6470,29.6608
2018-03-22,36.0060,35.6553,-0.5458,34.7084,26.4284
2018-03-21,36.1790,35.8520,-0.4881,39.5637,24.0382
2018-03-20,36.2250,35.9636,-0.4664,40.0857,24.0527
2018-03-19,36.3180,36.0866,-0.4380,35.0737,23.3831
2018-03-16,36.3860,36.3237,-0.3558,32.6016,21.8836
2018-03-15,36.4590,36.6556,-0.2262,41.3211,20.2175
2018-03-14,36.5090,36.8013,-0.1767,51.7563,18.3663
2018-03-13,36.5280,36.7616,-0.2108,56.1868,19.0335
2018-03-12,36.5350,36.6375,-0.2858,54.9622,20.9296
2018-03-09,36.5420,36.5125,-0.3651,54.7726,22.4266
2018-03-08,36.4780,36.3641,-0.4590,48.0837,24.7999
2018-03-07,36.5050,36.3339,-0.5030,39.9768,26.6614
2018-03-06,36.5850,36.4504,-0.4816,44.8145,27.1935
2018-03-05,36.6140,36.4749,-0.5012,36.4577,27.7847
2018-03-02,36.7180,36.6471,-0.4537,34.5051,27.9956
2018-03-01,36.8660,36.8887,-0.3723,42.3735,27.2000
2018-02-28,36.7970,36.9750,-0.3587,49.6340,27.9258
2018-02-27,36.6720,36.9317,-0.4043,52.2814,30.0508
2018-02-26,36.4680,36.8298,-0.4790,50.9984,33.3615
2018-02-23,36.2760,36.7320,-0.5552,42.5395,35.3085
2018-02-22,36.3720,36.7747,-0.5701,44.7289,36.7929
2018-02-21,36.4390,36.7757,-0.6042,42.8886,37.7371
2018-02-20,36.3830,36.8126,-0.6226,43.0498,39.1942
2018-02-16,36.5460,36.8532,-0.6392,43.8663,39.4818
2018-02-15,36.8220,36.8783,-0.6622,46.0080,40.1232
2018-02-14,37.0720,36.8424,-0.7124,34.1434,40.7251
2018-02-13,37.4660,37.0718,-0.6410,34.7581,40.4060
2018-02-12,37.8660,37.3277,-0.5517,28.7775,38.6071
2018-02-09,38.3420,37.7672,-0.3716,28.7775,36.6083
2018-02-08,38.7700,38.3044,-0.1364,39.9727,32.8947
2018-02-07,39.0110,38.4832,-0.0531,39.3804,29.4438
2018-02-06,39.2560,38.7150,0.0601,23.6786,27.4228
2018-02-05,39.5930,39.3072,0.3453,37.6235,24.1077
2018-02-02,39.5850,39.5399,0.4792,53.5485,21.5343
2018-02-01,39.4090,39.5487,0.5169,54.2147,21.9465
2018-01-31,39.2840,39.5507,0.5535,57.6008,23.8547
2018-01-30,39.1250,39.5064,0.5707,60.3469,24.8448
2018-01-29,39.0790,39.4145,0.5670,63.3866,26.3530
2018-01-26,39.0720,39.2599,0.5347,58.6511,26.0521
2018-01-25,39.0860,39.1777,0.5346,62.9238,26.6219
2018-01-24,39.0460,39.0149,0.4983,62.7493,27.8121
2018-01-23,39.0100,38.8205,0.4466,58.6327,29.1345
2018-01-22,39.0290,38.6873,0.4220,43.9156,31.2282
2018-01-19,39.1770,38.8000,0.5107,36.7268,34.4422
2018-01-18,39.3500,39.0355,0.6614,42.9152,36.1552
2018-01-17,39.4080,39.2012,0.7880,40.7930,35.8667
2018-01-16,39.4720,39.4326,0.9514,61.3050,38.2233
2018-01-12,39.4390,39.4265,1.0138,76.8143,40.8418
2018-01-11,39.3150,39.2902,1.0196,74.0655,43.7512
2018-01-10,39.2090,39.1835,1.0397,71.0955,42.5977
2018-01-09,39.1280,39.1110,1.0767,71.6637,41.6570
2018-01-08,39.0350,39.0179,1.1062,73.7865,41.1798
2018-01-05,38.8910,38.8863,1.1197,75.0367,40.7276
2018-01-04,38.7570,38.7144,1.1154,73.5011,40.1620
2018-01-03,38.6860,38.5465,1.1131,67.8867,38.8189
2018-01-02,38.5770,38.4746,1.1551,67.1560,38.8666
2017-12-29,38.4190,38.4022,1.1990,74.3318,39.4281
2017-12-28,38.2000,38.2405,1.2040,71.6008,39.5967
2017-12-27,38.0600,38.1162,1.2265,70.8392,39.0075
2017-12-26,37.9510,37.9842,1.2465,70.7608,38.9915
2017-12-22,37.8250,37.8252,1.2549,70.0356,38.2396
2017-12-21,37.7500,37.6530,1.2576,66.8544,37.5939
2017-12-20,37.6490,37.5381,1.2865,69.1596,37.0391
2017-12-19,37.5270,37.3644,1.2894,76.0855,36.6296
2017-12-18,37.4110,37.0542,1.2296,70.0791,35.2054
2017-12-15,37.2900,36.8929,1.2351,65.6410,33.6229
2017-12-14,37.1470,36.8203,1.2812,63.1836,34.1097
2017-12-13,37.0030,36.7936,1.3499,70.6554,35.2529
2017-12-12,36.7570,36.6589,1.3712,74.4447,36.5231
2017-12-11,36.3170,36.4453,1.3559,73.3940,35.0228
2017-12-08,35.9210,36.2243,1.3351,80.1496,33.5878
2017-12-07,35.5090,35.8630,1.2473,76.9338,31.9934
2017-12-06,35.1830,35.5748,1.1874,76.6376,30.3724
2017-12-05,34.8640,35.2359,1.0997,84.8051,28.7259
2017-12-04,34.4900,34.7105,0.9210,81.0636,26.4479
2017-12-01,34.1730,34.2973,0.7843,77.2446,23.9168
2017-11-30,33.9460,33.9656,0.6778,75.5979,23.4824
2017-11-29,33.6040,33.6246,0.5616,72.0875,20.5156
2017-11-28,33.3470,33.3323,0.4621,53.6592,18.2454
2017-11-27,33.2430,33.3572,0.5036,58.9545,17.7032
2017-11-24,33.1080,33.3299,0.5227,64.4592,18.8882
2017-11-22,32.9270,33.2410,0.5140,68.3660,19.8151
2017-11-21,32.7650,33.0945,0.4781,68.5861,20.5012
2017-11-20,32.6560,32.9133,0.4243,68.1243,21.2634
2017-11-17,32.5700,32.7030,0.3546,63.7074,19.9761
2017-11-16,32.5420,32.5481,0.3073,65.8497,19.2253
2017-11-15,32.4700,32.3321,0.2302,46.3746,18.8446
2017-11-14,32.5330,32.3881,0.2752,51.7206,19.5633
2017-11-13,32.5500,32.3921,0.2990,48.1994,21.4048
2017-11-10,32.6100,32.4393,0.3443,47.2889,23.5767
2017-11-09,32.6580,32.5080,0.4023,43.5375,25.3554
2017-11-08,32.7320,32.6387,0.4919,48.9078,26.5853
2017-11-07,32.7420,32.7184,0.5623,58.6791,28.7726
2017-11-06,32.7360,32.6958,0.5891,62.4204,30.8367
2017-11-03,32.7620,32.6282,0.5964,64.9033,30.5842
2017-11-02,32.7910,32.5189,0.5849,61.1992,29.5472
2017-11-01,32.6310,32.4564,0.5942,60.1342,28.7173
2017-10-31,32.4720,32.4001,0.6066,58.1829,28.5457
2017-10-30,32.3770,32.3690,0.6309,62.0412,28.7055
2017-10-27,32.1980,32.2776,0.6284,60.3657,28.5202
2017-10-26,31.9820,32.2038,0.6333,61.0794,28.6163
2017-10-25,31.8490,32.1024,0.6252,58.6133,28.0399
2017-10-24,31.7830,32.0407,0.6344,63.5300,28.0977
2017-10-23,31.6570,31.8809,0.5981,70.5366,27.1305
2017-10-20,31.4780,31.5744,0.4922,72.7016,24.6010
2017-10-19,31.2830,31.1665,0.3346,53.9673,20.8871
2017-10-18,31.2950,31.1591,0.3537,52.9145,21.4571
2017-10-17,31.3590,31.1678,0.3809,60.1933,23.5044
2017-10-16,31.3460,31.0739,0.3624,52.7212,25.7791
2017-10-13,31.3640,31.0926,0.3945,44.2436,28.0378
2017-10-12,31.4380,31.2354,0.4847,60.0310,30.1355
2017-10-11,31.3950,31.2143,0.5032,69.9927,32.8497
2017-10-10,31.2470,31.1020,0.4798,67.2321,32.5519
2017-10-09,31.0580,31.0135,0.4654,66.8579,31.3024
2017-10-06,30.8460,30.9121,0.4433,66.7439,30.5218
2017-10-05,30.5860,30.7903,0.4096,65.2382,29.9997
2017-10-04,30.3540,30.6726,0.3749,74.8202,29.4196
2017-10-03,30.0980,30.4310,0.2804,72.3260,28.2222
2017-10-02,29.8810,30.2023,0.1862,69.7161,26.0205
2017-09-29,29.6750,29.9873,0.0927,70.1266,24.3935
2017-09-28,29.4130,29.7200,-0.0299,67.6401,22.8290
2017-09-27,29.2500,29.4578,-0.1564,60.9894,21.0906
2017-09-26,29.1510,29.2840,-0.2484,52.6246,19.6465
2017-09-25,29.1250,29.2116,-0.2982,48.5250,21.1782
2017-09-22,29.0720,29.1808,-0.3308,39.6700,23.4755
2017-09-21,29.0490,29.2521,-0.3177,41.5061,24.6082
2017-09-20,29.1490,29.3081,-0.3107,44.1322,23.9102
2017-09-19,29.2340,29.3321,-0.3176,45.2928,23.6838
2017-09-18,29.3750,29.3415,-0.3310,42.5744,23.8595
2017-09-15,29.5420,29.3929,-0.3248,33.6763,23.2488
2017-09-14,29.7570,29.5758,-0.2573,41.1075,22.1754
2017-09-13,29.8400,29.6437,-0.2387,40.7714,21.4391
2017-09-12,29.9190,29.7312,-0.2094,41.8460,21.8984
2017-09-11,30.0580,29.8160,-0.1791,33.4834,22.4083
2017-09-08,30.2290,30.0373,-0.0839,30.2471,22.2270
2017-09-07,30.4150,30.3500,0.0582,44.2040,20.2331
2017-09-06,30.4350,30.4278,0.0992,44.8843,19.1874
2017-09-05,30.4640,30.5118,0.1450,54.7408,20.5825
2017-09-01,30.4040,30.4699,0.1351,56.1056,22.1327
2017-08-31,30.3450,30.4010,0.1125,55.3542,21.7184
2017-08-30,30.3600,30.3301,0.0880,46.9018,21.5827
2017-08-29,30.5170,30.3813,0.1187,46.0116,21.8763
2017-08-28,30.6040,30.4571,0.1622,55.8421,23.9631
2017-08-25,30.4800,30.3942,0.1441,53.1388,24.7290
2017-08-24,30.3610,30.3641,0.1403,52.6418,24.3453
2017-08-23,30.3190,30.3361,0.1374,49.1209,24.3165
2017-08-22,30.3470,30.3663,0.1613,50.7606,24.6233
2017-08-21,30.3470,30.3722,0.1752,48.0869,25.2281
2017-08-18,30.3250,30.4327,0.2148,48.9846,26.3019
